category,title,link,content
Business,"
Zimbabwe officially ditches ZWL for new “ZiG” currency, urges market adoption ",https://nehandaradio.com/2024/05/07/zimbabwe-officially-ditches-zwl-for-new-zig-currency-urges-market-adoption/,"
Zimbabwe has officially transitioned from the Zimbabwean Dollar (ZWL) to a new gold-backed currency, the Zimbabwe Gold (ZiG), with immediate effect. "
Business,"
Zimbabwe’s new gold-backed currency weakens despite ambitious plans ",https://nehandaradio.com/2024/05/06/zimbabwes-new-gold-backed-currency-weakens-despite-ambitious-plans/,"
Fidelity Life Assurance of Zimbabwe Limited (Fidelity Life) reported a staggering 9,945% increase in inflation-adjusted profits for the year ended December 31, 2023, attributing the surge to strong revenue and investment income growth. The… "
Business,"
Trading in Bindura Nickel shares halted after its placed under administration ",https://nehandaradio.com/2024/05/03/trading-in-bindura-nickel-shares-halted-after-its-placed-under-administration/,"
Zimbabwe's recently launched gold-backed currency, the ZiG, has already weakened to its lowest level against the US dollar since its debut a month ago. "
Business,"
Padenga Holdings battles rising costs despite increased revenue in 2023 ",https://nehandaradio.com/2024/05/02/padenga-holdings-battles-rising-costs-despite-increased-revenue-in-2023/,"
Auditors for Zimre Holdings Limited (ZHL) a Zimbabwean-based diversified investment holding company, have issued an adverse opinion on the company's financial statements for the year ended December 31, 2023, citing significant accounting… "
Business,"
FBC Holdings’ financial results reveal struggles amidst economic uncertainty ",https://nehandaradio.com/2024/04/30/fbc-holdings-financial-results-reveal-struggles-amidst-economic-uncertainty/,"
The Victoria Falls Stock Exchange (VFEX) has announced a trading halt for Bindura Nickel Corporation Limited (BIND.VX) shares effective from Friday, May 3, 2024. The reconstruction order comes amid financial difficulties and equipment… "
Entertainment,"
Nutty O up for ZimAchievers gong as Diaspora Insurance named as sponsor ",https://nehandaradio.com/2024/05/09/nutty-o-up-for-zimachievers-gong-as-diaspora-insurance-named-as-sponsor/,"
LONDON - Award winning Zimdancehall star Nutty O’s star continues to rise as he is set to be honored at the Zimbabwe Achievers Awards (Z.A.A) United Kingdom edition on Saturday in Birmingham. "
Entertainment,"
Madam Boss attacked by thieves… we are being stalked husband reveals ",https://nehandaradio.com/2024/05/08/madam-boss-attacked-by-thieves-we-are-being-stalked-husband-reveals/,"
The family of Costa Titch has finally got closure over his mysterious passing last year after a post-mortem revealed that the South African rapper died from a heart condition and not from a drug overdose or poisoning as some had speculated. "
Entertainment,"
“Jail has changed him” – rape convicted Kwaito star Brickz turns to God ",https://nehandaradio.com/2024/05/08/jail-has-changed-him-rape-convicted-kwaito-star-brickz-turns-to-god/,"
HARARE - Comedienne and social media personality Madam Boss was the victim of an attack by thieves who reportedly damaged her vehicle and stole her cell phone in a ""smash and grab."" "
Entertainment,"
“I was tired of playing games” – Cassper Nyovest on why he got married ",https://nehandaradio.com/2024/05/04/i-was-tired-of-playing-games-cassper-nyovest-on-why-he-got-married/,"
A security guard at Canadian rapper Drake’s Toronto mansion has been “seriously injured” after he was shot in what police officers suspect was a drive-by shooting. The shooting comes amidst a feud between Drake and fellow rapper Kendrick… "
Entertainment,"
“Promoters don’t want to touch her” – music industry shuns Kelly Khumalo ",https://nehandaradio.com/2024/05/03/promoters-dont-want-to-touch-her-music-industry-shuns-kelly-khumalo/,"
Kwaito star Brickz, who was convicted of raping his niece in 2013, has reportedly found God while behind bars, with the South African musician reportedly set to release a gospel album upon his release from prison. "
Sports,"
It’s embarrassing not to host international matches, ‘we will fix this’: VP Mohadi ",https://nehandaradio.com/2024/05/09/its-embarrassing-not-to-host-international-matches-we-will-fix-this-vp-mohadi/,"
Second Vice President (VP) Kembo Mohadi is a disappointed man. His disappointment comes after Zimbabwe's failure to host international matches on home soil. He revealed this during his tour of the iconic Mbare based football venue Rufaro… "
Sports,"
Fraud case against Dynamos supremo Bernard Marriot postponed again ",https://nehandaradio.com/2024/05/08/fraud-case-against-dynamos-supremo-bernard-marriot-postponed-again/,"
South Africa's DStv Premiership outfit SuperSport United are reportedly still interested in signing Chicken Inn and Zimbabwe Warriors goalkeeper Donovan Bernard. "
Sports,"
Scotland FC star Denver Mukamba reportedly gets US$2k for netting brace ",https://nehandaradio.com/2024/05/08/scotland-fc-star-denver-mukamba-reportedly-gets-us2k-for-netting-brace/,"
The fraud case against Dynamos supremo Bernard Marriot brought to trial by disenfranchised members of the club again failed to resume at the Harare Magistrates Court yesterday. "
